param_activation,param_alpha,param_batch_size,param_hidden_layer_sizes,param_learning_rate,params,mean_test_Recall,rank_test_Recall,mean_test_Precision,rank_test_Precision,mean_test_F1,rank_test_F1,mean_test_Accuracy,rank_test_Accuracy,mean_test_Balanced accuracy,rank_test_Balanced accuracy,mean_test_AUROC,rank_test_AUROC
tanh,0.001,16,"(5,)",constant,"{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 16, 'hidden_layer_sizes': (5,), 'learning_rate': 'constant'}",0.8860214767752919,21,0.8295029898019475,35,0.8567189543867346,37,0.8517641515158411,35,0.8517619923394941,35,0.9203938128114402,33
tanh,0.001,16,"(5,)",adaptive,"{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 16, 'hidden_layer_sizes': (5,), 'learning_rate': 'adaptive'}",0.8860214767752919,21,0.8295029898019475,35,0.8567189543867346,37,0.8517641515158411,35,0.8517619923394941,35,0.9203938128114402,33
tanh,1,16,"(10, 10)",constant,"{'activation': 'tanh', 'alpha': 1, 'batch_size': 16, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'constant'}",0.8787105575145915,35,0.8389281626850016,15,0.8582150277479706,25,0.8546881281240282,29,0.8546897799124513,29,0.9185396984063205,35
tanh,1,16,"(10, 10)",adaptive,"{'activation': 'tanh', 'alpha': 1, 'batch_size': 16, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'adaptive'}",0.8787105575145915,35,0.8389281626850016,15,0.8582150277479706,25,0.8546881281240282,29,0.8546897799124513,29,0.9185396984063205,35
tanh,1,16,"(10,)",constant,"{'activation': 'tanh', 'alpha': 1, 'batch_size': 16, 'hidden_layer_sizes': (10,), 'learning_rate': 'constant'}",0.8772495136186771,39,0.8329663281265123,31,0.8542745472229041,41,0.8503033483514233,39,0.8503033233523833,39,0.917951850259845,37
tanh,1,16,"(10,)",adaptive,"{'activation': 'tanh', 'alpha': 1, 'batch_size': 16, 'hidden_layer_sizes': (10,), 'learning_rate': 'adaptive'}",0.8772495136186771,39,0.8329663281265123,31,0.8542745472229041,41,0.8503033483514233,39,0.8503033233523833,39,0.917951850259845,37
relu,1,64,"(5,)",adaptive,"{'activation': 'relu', 'alpha': 1, 'batch_size': 64, 'hidden_layer_sizes': (5,), 'learning_rate': 'adaptive'}",0.9006243160262646,3,0.827497171504024,39,0.8623410388495762,9,0.8560273359577066,17,0.8560221037512159,17,0.9172483523714401,39
relu,1,64,"(5,)",constant,"{'activation': 'relu', 'alpha': 1, 'batch_size': 64, 'hidden_layer_sizes': (5,), 'learning_rate': 'constant'}",0.9006243160262646,3,0.827497171504024,39,0.8623410388495762,9,0.8560273359577066,17,0.8560221037512159,17,0.9172483523714401,39
relu,0.001,16,"(10,)",constant,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 16, 'hidden_layer_sizes': (10,), 'learning_rate': 'constant'}",0.8826082578428989,23,0.835290975302053,29,0.8580863820028225,27,0.8539587931675275,31,0.8539545081468871,31,0.9154186986029075,41
relu,0.001,16,"(10,)",adaptive,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 16, 'hidden_layer_sizes': (10,), 'learning_rate': 'adaptive'}",0.8826082578428989,23,0.835290975302053,29,0.8580863820028225,27,0.8539587931675275,31,0.8539545081468871,31,0.9154186986029075,41
relu,0.001,64,"(10,)",constant,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (10,), 'learning_rate': 'constant'}",0.8796852200875487,31,0.8386935146480188,17,0.8585426847935498,23,0.8549322668972474,27,0.8549229959569553,27,0.9124394485119476,43
relu,0.001,64,"(10,)",adaptive,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (10,), 'learning_rate': 'adaptive'}",0.8796852200875487,31,0.8386935146480188,17,0.8585426847935498,23,0.8549322668972474,27,0.8549229959569553,27,0.9124394485119476,43
relu,0.001,16,"(5,)",adaptive,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 16, 'hidden_layer_sizes': (5,), 'learning_rate': 'adaptive'}",0.8947905900413424,5,0.8156678955281238,45,0.853265100526734,43,0.8460437193285852,45,0.8460318123784046,45,0.9048244004628666,45
relu,0.001,16,"(5,)",constant,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 16, 'hidden_layer_sizes': (5,), 'learning_rate': 'constant'}",0.8947905900413424,5,0.8156678955281238,45,0.853265100526734,43,0.8460437193285852,45,0.8460318123784046,45,0.9048244004628666,45
relu,0.001,64,"(5,)",adaptive,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (5,), 'learning_rate': 'adaptive'}",0.9118329356152723,1,0.7979596451491893,47,0.8509889793681253,47,0.8401964771960164,47,0.8401819370136187,47,0.9000754625886179,47
relu,0.001,64,"(5,)",constant,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (5,), 'learning_rate': 'constant'}",0.9118329356152723,1,0.7979596451491893,47,0.8509889793681253,47,0.8401964771960164,47,0.8401819370136187,47,0.9000754625886179,47
